Report_Type,Dataset,Model,Hour,WAPE,MAE,RMSE,MAPE,sMAPE,Broj_redova
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,15,36.336,0.4326,0.6364,46.877,37.317,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,16,33.3842,0.3901,0.5646,41.5637,34.9666,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,17,35.861,0.4771,0.6902,44.3434,36.9167,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,18,32.5784,0.5335,0.7007,44.9977,35.7935,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,19,30.1465,0.6271,0.7814,39.0241,33.0587,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,20,27.996,0.6374,0.7848,41.4783,31.3252,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,21,23.5081,0.4818,0.6238,34.0339,26.6332,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,22,30.9254,0.4676,0.584,42.9432,34.2694,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,23,42.6932,0.3806,0.4891,58.7675,42.2524,209
summary,test,gru_seq24_h32_l1_d0_lr0.001_bs64,,35.152,0.3372,0.481,45.7823,36.3957,5025
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,0,39.6575,0.2616,0.3936,43.2489,35.8091,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,1,33.8045,0.1921,0.2989,31.9297,30.8655,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,2,32.0848,0.1692,0.2701,28.6253,29.1069,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,3,30.1412,0.1402,0.2403,27.0789,26.1135,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,4,33.5837,0.1555,0.2511,30.5538,29.6472,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,5,33.9541,0.1527,0.2577,31.808,28.9029,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,6,35.5526,0.2318,0.3009,41.3969,34.3161,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,7,34.7164,0.4571,0.5708,54.7647,40.428,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,8,25.7643,0.3234,0.4208,40.1175,29.9315,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,9,29.0662,0.3485,0.4737,43.5095,33.1112,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,10,34.1156,0.3888,0.5222,51.2387,38.3903,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,11,33.9639,0.3869,0.5344,48.5533,38.1616,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,12,37.7486,0.4185,0.5881,50.3671,40.3852,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,13,33.7299,0.3534,0.4652,43.5843,36.4182,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,14,38.2475,0.3766,0.508,52.514,40.703,209
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,15,38.536,0.3494,0.4877,48.8068,39.0648,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,16,40.2592,0.3302,0.4305,55.1738,41.5308,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,17,40.9912,0.3623,0.5035,51.9347,41.4775,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,18,41.5643,0.4451,0.6452,55.4867,42.9732,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,19,35.293,0.459,0.617,57.2099,39.8274,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,20,32.1662,0.4741,0.6111,55.5066,37.1711,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,21,34.5699,0.5257,0.6686,54.6665,39.7835,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,22,34.6277,0.4194,0.5493,47.0412,36.4756,210
hourly,test,gru_seq24_h32_l1_d0_lr0.001_bs64,23,43.2079,0.3675,0.5011,53.3371,42.7425,210
