Report_Type,Dataset,Hour,Baseline_WAPE,Baseline_MAE,Baseline_RMSE,Baseline_MAPE,Baseline_sMAPE,Baseline_Broj_redova,GRU_WAPE,GRU_MAE,GRU_RMSE,GRU_MAPE,GRU_sMAPE,GRU_Broj_redova,WAPE_Difference_Baseline_minus_GRU,WAPE_Improvement_percent,MAE_Difference_Baseline_minus_GRU,MAE_Improvement_percent,RMSE_Difference_Baseline_minus_GRU,RMSE_Improvement_percent,MAPE_Difference_Baseline_minus_GRU,MAPE_Improvement_percent,sMAPE_Difference_Baseline_minus_GRU,sMAPE_Improvement_percent
hourly,validation,16.0,76.8996,0.8999,1.1684,119.9874,74.859,211,33.7329,0.3942,0.5612,41.302,35.4868,209,43.1667,56.1338,0.5057,56.1951,0.6072,51.9685,78.6854,65.5781,39.3722,52.5951
hourly,validation,17.0,72.6978,0.9656,1.3101,107.087,68.9868,211,34.8673,0.4639,0.6721,44.227,36.425,209,37.8305,52.038,0.5017,51.9573,0.638,48.6986,62.86,58.6999,32.5618,47.2
hourly,validation,18.0,56.4818,0.9224,1.2347,72.7849,56.4683,211,32.5396,0.5329,0.6961,46.6849,36.3448,209,23.9422,42.3892,0.3895,42.2268,0.5386,43.6219,26.1,35.8591,20.1235,35.6368
hourly,validation,19.0,43.8329,0.9117,1.1345,58.3159,46.8889,211,30.2391,0.629,0.7756,39.3671,32.9991,209,13.5938,31.0128,0.2827,31.008,0.3589,31.6351,18.9488,32.4934,13.8898,29.6228
hourly,validation,20.0,44.9506,1.0297,1.324,64.963,48.1607,211,27.7154,0.6311,0.7777,41.6155,31.1615,209,17.2352,38.3425,0.3986,38.7103,0.5463,41.2613,23.3475,35.9397,16.9992,35.2968
hourly,validation,21.0,44.7023,0.9212,1.1754,63.3429,47.6191,211,24.251,0.4971,0.6379,34.4451,27.4855,209,20.4513,45.75,0.4241,46.0378,0.5375,45.7291,28.8978,45.6212,20.1336,42.2805
hourly,validation,22.0,56.0996,0.8462,1.0483,81.3562,58.515,211,30.0159,0.4538,0.5701,39.8995,33.6796,209,26.0837,46.4953,0.3924,46.372,0.4782,45.6167,41.4567,50.957,24.8354,42.4428
hourly,validation,23.0,65.2345,0.5798,0.8392,79.7702,58.5358,211,40.2533,0.3588,0.486,48.6423,39.2578,209,24.9812,38.2945,0.221,38.1166,0.3532,42.0877,31.1279,39.022,19.278,32.9337
hourly,test,0.0,57.6468,0.3801,0.6354,59.6888,44.3764,211,37.2175,0.2455,0.4079,34.8848,33.446,209,20.4293,35.4387,0.1346,35.4117,0.2275,35.8042,24.804,41.5555,10.9304,24.6311
hourly,test,1.0,53.2932,0.3026,0.5131,53.2864,41.3129,211,34.0346,0.1934,0.3263,27.4554,30.143,209,19.2586,36.1371,0.1092,36.0872,0.1868,36.4062,25.831,48.4758,11.1699,27.0373
hourly,test,2.0,58.9188,0.3112,0.4887,58.843,46.0793,211,31.7012,0.1672,0.2722,27.4795,28.2807,209,27.2176,46.1951,0.144,46.2725,0.2165,44.3012,31.3635,53.3003,17.7986,38.626
hourly,test,3.0,50.4141,0.2354,0.4232,46.9679,36.4655,211,32.5865,0.1516,0.2431,31.1676,28.6814,209,17.8276,35.3623,0.0838,35.599,0.1801,42.5567,15.8003,33.6406,7.7841,21.3465
hourly,test,4.0,50.5237,0.2342,0.3894,50.0913,38.7732,211,37.1511,0.172,0.2584,35.7735,32.8781,209,13.3726,26.468,0.0622,26.5585,0.131,33.6415,14.3178,28.5834,5.8951,15.2041
hourly,test,5.0,46.2812,0.2077,0.3942,42.0626,34.3183,211,38.9001,0.1749,0.2584,40.5095,34.0689,209,7.3811,15.9484,0.0328,15.792,0.1358,34.4495,1.5531,3.6924,0.2494,0.7267
hourly,test,6.0,47.5159,0.3094,0.4335,51.704,43.7469,211,37.4775,0.2444,0.3043,48.5436,37.6215,209,10.0384,21.1264,0.065,21.0084,0.1292,29.8039,3.1604,6.1125,6.1254,14.0019
hourly,test,7.0,42.5679,0.5629,0.7915,69.1389,48.436,211,34.9514,0.4602,0.5581,59.9494,41.9933,209,7.6165,17.8926,0.1027,18.2448,0.2334,29.4883,9.1895,13.2914,6.4427,13.3015
hourly,test,8.0,41.3451,0.52,0.7297,57.7216,43.2804,211,28.6141,0.3592,0.4501,45.5235,33.1132,209,12.731,30.792,0.1608,30.9231,0.2796,38.3171,12.1981,21.1326,10.1672,23.4915
hourly,test,9.0,42.5986,0.5104,0.7093,58.3392,44.3847,211,30.0646,0.3605,0.4819,47.7059,34.5811,209,12.534,29.4235,0.1499,29.3691,0.2274,32.0598,10.6333,18.2267,9.8036,22.0878
hourly,test,10.0,46.9347,0.5338,0.7755,66.8597,47.5829,211,35.3447,0.4028,0.5355,56.4506,39.69,209,11.59,24.6939,0.131,24.541,0.24,30.9478,10.4091,15.5686,7.8929,16.5877
hourly,test,11.0,51.2914,0.5831,0.8667,73.1299,49.4234,211,33.3675,0.3801,0.5287,51.0319,37.6517,209,17.9239,34.9452,0.203,34.8139,0.338,38.9985,22.098,30.2175,11.7717,23.8181
hourly,test,12.0,57.2329,0.6323,0.8984,74.8847,55.112,211,37.5248,0.4161,0.5841,51.3057,39.1208,209,19.7081,34.4349,0.2162,34.1926,0.3143,34.9844,23.579,31.4871,15.9912,29.0158
hourly,test,13.0,57.2387,0.5961,0.8328,79.2225,55.2056,211,34.1502,0.3579,0.4665,44.9618,36.653,209,23.0885,40.3372,0.2382,39.9597,0.3663,43.9841,34.2607,43.2462,18.5526,33.6064
hourly,test,14.0,59.1814,0.5814,0.8257,77.8892,54.3858,211,38.5915,0.38,0.5112,52.0733,40.9794,209,20.5899,34.7912,0.2014,34.6405,0.3145,38.0889,25.8159,33.1444,13.4064,24.6506
hourly,test,15.0,66.195,0.6007,0.807,85.809,60.9069,212,38.602,0.35,0.4952,46.0845,37.9202,210,27.593,41.6844,0.2507,41.7346,0.3118,38.6369,39.7245,46.2941,22.9867,37.7407
hourly,test,16.0,69.077,0.567,0.7666,81.9517,61.0886,212,39.6229,0.325,0.4313,51.338,39.7944,210,29.4541,42.6395,0.242,42.6808,0.3353,43.7386,30.6137,37.3558,21.2942,34.8579
hourly,test,17.0,65.4507,0.5785,0.8195,77.7173,56.622,212,40.8013,0.3606,0.5096,51.509,41.0771,210,24.6494,37.661,0.2179,37.6664,0.3099,37.8157,26.2083,33.7226,15.5449,27.4538
hourly,test,18.0,61.6876,0.6608,0.9894,74.8548,54.5885,212,42.1437,0.4513,0.6473,57.2155,42.7189,210,19.5439,31.6821,0.2095,31.704,0.3421,34.5765,17.6393,23.5647,11.8696,21.7438
hourly,test,19.0,56.0006,0.7251,0.9789,79.5865,55.5622,212,36.436,0.4739,0.6193,60.1632,40.441,210,19.5646,34.9364,0.2512,34.6435,0.3596,36.7351,19.4233,24.4053,15.1212,27.2149
hourly,test,20.0,47.7692,0.7028,0.9619,71.9791,51.1669,212,32.6894,0.4819,0.6261,55.5372,36.9359,210,15.0798,31.568,0.2209,31.4314,0.3358,34.9101,16.4419,22.8426,14.231,27.8129
hourly,test,21.0,49.8432,0.7559,0.9979,67.8852,51.2163,212,33.9342,0.516,0.6617,50.2837,38.2217,210,15.909,31.9181,0.2399,31.737,0.3362,33.6908,17.6015,25.9283,12.9946,25.372
hourly,test,22.0,53.5903,0.6476,0.8377,67.7786,52.7603,212,34.1052,0.4131,0.5526,42.027,35.1785,210,19.4851,36.3594,0.2345,36.2106,0.2851,34.0337,25.7516,37.9937,17.5818,33.3239
hourly,test,23.0,64.9254,0.5513,0.8031,75.4286,55.834,212,40.6343,0.3456,0.5122,44.1718,39.2779,210,24.2911,37.4139,0.2057,37.3118,0.2909,36.2221,31.2568,41.4389,16.5561,29.6524
