Report_Type,Dataset,Model,Hour,WAPE,MAE,RMSE,MAPE,sMAPE,Broj_redova
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,14,38.5915,0.38,0.5112,52.0733,40.9794,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,15,38.602,0.35,0.4952,46.0845,37.9202,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,16,39.6229,0.325,0.4313,51.338,39.7944,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,17,40.8013,0.3606,0.5096,51.509,41.0771,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,18,42.1437,0.4513,0.6473,57.2155,42.7189,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,19,36.436,0.4739,0.6193,60.1632,40.441,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,20,32.6894,0.4819,0.6261,55.5372,36.9359,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,21,33.9342,0.516,0.6617,50.2837,38.2217,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,22,34.1052,0.4131,0.5526,42.027,35.1785,210
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,23,40.6343,0.3456,0.5122,44.1718,39.2779,210
